"rt","response","correct_response","accuracy","rtconf","cj"
1.0820048000005,"right","left",0,1.11794439999994,1
1.15201650000017,"right","right",1,0.500323700000081,1
1.75043480000022,"left","left",1,0.701702000000296,0
1.10063720000016,"right","right",1,1.06315319999976,1
2.10022959999969,"left","right",0,0.699959300000046,0
1.13450739999917,"right","right",1,1.23626539999987,1
0.766768899999988,"left","left",1,0.711220399999547,1
1.4509151000002,"right","right",1,0.707038300000022,0
1.4339474999997,"left","right",0,1.08792409999933,0
0.967096000000311,"right","left",0,0.672228700000232,1
1.13354020000043,"left","right",0,0.522605699999986,0
0.734207100000276,"right","right",1,0.474880600000688,1
0.84952020000037,"left","left",1,0.37711760000002,0
0.566569200000231,"right","right",1,0.389602700000069,1
0.817214499999864,"right","right",1,0.728031899999223,0
0.934330999999474,"left","right",0,0.936584500000208,1
0.6848044999997,"right","right",1,0.4579647999999,1
1.21714900000006,"left","right",0,0.427045700000235,0
0.849457600000278,"left","left",1,0.346057599999767,1
0.767206599999554,"right","left",0,0.510854000000108,1
1.05006099999991,"left","left",1,0.452579499999956,0
0.801360899999963,"right","right",1,0.435453600000073,1
1.70050590000028,"left","left",1,0.384478999999374,0
0.801012599999922,"right","left",0,1.01274670000021,0
0.801087900000311,"right","left",0,0.749008600000707,0
0.934541100000388,"right","left",0,1.10044509999989,0
1.31567869999981,"left","left",1,0.799416099999689,1
0.884552800000165,"right","right",1,0.41302639999958,1
1.2499213000001,"left","right",0,1.27742539999963,1
0.683426099999451,"left","left",1,0.32179989999986,1
0.967271399999845,"left","left",1,1.16886440000053,1
0.835018599999785,"right","left",0,2.54634859999987,1
1.08602100000007,"right","right",1,0.739870800000062,1
0.684709299999668,"right","left",0,0.525256200000513,1
0.633909600000152,"left","right",0,1.17101910000019,0
0.668280799999593,"right","right",1,0.250473299999612,1
0.834758899999542,"right","right",1,0.178101700000298,1
0.749309200000425,"right","right",1,0.17601889999969,1
0.602181100000053,"right","left",0,0.0987494999999399,1
1.18463599999995,"left","left",1,0.817731599999206,1
1.10040039999967,"left","left",1,0.631536300000334,1
0.634637199999815,"right","right",1,0.11912299999949,1
0.584398500000134,"right","left",0,0.125630900000033,1
0.835283100000197,"left","left",1,0.0896764999997686,0
0.632871799999521,"right","right",1,0.128619700000854,1
1.13449500000024,"right","left",0,0.15941389999989,1
0.634581399999661,"right","left",0,0.210318400000688,1
0.800568599999679,"right","right",1,0.221247800000128,1
0.600677200000064,"right","left",0,0.238213800000267,1
0.601068399999349,"right","right",1,0.191140699999778,1
0.717924999999923,"right","left",0,0.285401699999966,1
0.701320600000145,"right","right",1,0.184417499999654,1
0.767309099999693,"right","left",0,0.148761000000377,1
0.584237699999903,"right","right",1,0.105519199999435,1
0.468072399999983,"right","right",1,0.133316299999933,1
0.583575100000417,"right","right",1,0.234628199999861,1
0.55007089999981,"right","left",0,0.222587400000521,1
0.584049199999754,"right","right",1,0.192204500000116,1
0.666953400000239,"right","left",0,0.0971661000003223,1
0.767564300000231,"right","left",0,0.09594240000024,1
1.03439620000063,"left","right",0,0.91874850000022,1
0.784359900000709,"left","left",1,0.965856199999507,1
0.9017659000001,"left","left",1,0.940552100000787,1
0.751246799999535,"right","right",1,0.828008299999965,1
0.750688199999786,"left","left",1,0.671265899999526,1
1.4163510999997,"left","left",1,0.687216099999205,0
0.766399000000092,"right","right",1,0.551518599999326,1
1.08437080000022,"left","right",0,0.744569599999522,0
0.733729000000494,"right","right",1,0.76731000000018,1
1.90121570000065,"left","right",0,0.39095240000006,0
2.30082909999965,"left","left",1,0.57422619999943,0
1.21758000000045,"left","right",0,0.873376100000314,0
0.701536399999895,"left","left",1,0.556900399999904,1
0.616729500000474,"right","right",1,0.52909709999949,1
0.784439600000042,"left","right",0,0.30225320000045,1
1.31821330000002,"left","left",1,0.607841500000177,0
0.984278500000073,"left","right",0,0.627742300000136,0
0.717139299999872,"right","right",1,0.543851000000359,1
